,animalID,sex,cohort,age_days,harvest_date,hatch_date,tissue,tissue_grind_date,RNA_extract_date,RNA_batch,RNA_extractor,RNAID,cDNA_batch,plate_well,sampleName,lib,censored,censor_code,notes
A1_1,J9,F,2,155,8/16/22,3/14/22,Gut,NA,3/8/23,1,EC,RNA352,1,A1,A1,A1_1,,,
A10_1,P_1B_10,M,1B,133,1/31/22,9/20/21,Kidney,NA,3/4/23,1,JC,R258,1,A10,A10,A10_1,,,
A11_1,J_1A_22,M,1A,47,10/25/21,9/8/21,Kidney,NA,3/4/23,2,JC,R274,1,A11,A11,A11_1,,,
A12_1,J_1B_4,M,1B,161,2/28/22,9/20/21,Kidney,NA,3/4/23,2,EC,R290,1,A12,A12,A12_1,,,
A13_1,D12,M,2,134,7/26/22,3/14/22,Muscle,NA,3/15/23,1,EC,RNA462,1,A13,A13,A13_1,,,
A14_1,P_1B_8,M,1B,147,2/14/22,9/20/21,Muscle,NA,3/15/23,1,EC,RNA478,1,A14,A14,A14_1,,,
A15_1,E_01,M,2,52,5/5/22,3/14/22,Muscle,NA,3/17/23,2,EC,RNA494,1,A15,A15,A15_1,,,
A16_1,P_1A_2,F,1A,103,12/20/21,9/8/21,Muscle,NA,3/27/23,3,EC,RNA510,1,A16,A16,A16_1,,,
A17_1,C04,F,2,134,7/26/22,3/14/22,Skin,NA,2/8/23,1,EC,R77,1,A17,A17,A17_1,,,
A18_1,J_1B_4,M,1B,161,2/28/22,9/20/21,Skin,NA,2/8/23,1,IG,R93,1,A18,A18,A18_1,,,
A19_1,I_03,M,2,162,8/23/22,3/14/22,Skin,NA,2/8/23,2,IG,R109,1,A19,A19,A19_1,,,
A2_1,P_1B_2,M,1B,133,1/31/22,9/20/21,Gut,NA,3/8/23,1,EC,RNA368,1,A2,A2,A2_1,,,
A20_1,J_1B_11,M,1B,161,2/28/22,9/20/21,Skin,NA,2/8/23,2,EC,R125,1,A20,A20,A20_1,,,
A21_1,A01,M,2,78,5/31/22,3/14/22,Testis,NA,2/10/23,1,EC,132,1,A21,A21,A21_1,,,
A22_1,J-1B-18,F,1B,133,1/31/22,9/20/21,Ovary,NA,2/10/23,1,IG,152,1,A22,A22,A22_1,1,1,no aqueous phase
A23_1,E02,F,2,78,5/31/22,3/14/22,Ovary,NA,2/24/23,2,EC,164,1,A23,A23,A23_1,,,
A24_1,J_1A_13,M,1A,75,11/22/21,9/8/21,Testis,NA,2/24/23,2,JC,180,1,A24,A24,A24_1,,,
A3_1,I05,F,2,134,7/26/22,3/14/22,Gut,NA,3/8/23,1,JC,RNA384,1,A3,A3,A3_1,,,
A4_1,P_1A_8,F,1A,75,11/22/21,9/8/21,Gut,NA,3/9/23,2,EC,RNA400,1,A4,A4,A4_1,,,
A5_1,B01,M,2,134,7/26/22,3/14/22,Liver,NA,1/30/23,2,EC,R01,1,A5,A5,A5_1,,,
A6_1,D_06,F,2,52,5/5/22,3/14/22,Liver,NA,1/30/23,2,IG,R17,1,A6,A6,A6_1,,,
A7_1,J_1B_18,F,1B,133,1/31/22,9/20/21,Liver,NA,3/21/22,1,EC,RNA674,1,A7,A7,A7_1,,,
A8_1,P_1A_6,M,1A,133,1/19/22,9/8/21,Liver,NA,3/21/22,1,IG,RNA690,1,A8,A8,A8_1,,,
A9_1,E02,F,2,78,5/31/22,3/14/22,Kidney,NA,3/4/23,1,EC,R242,1,A9,A9,A9_1,,,
B1_1,B01,M,2,134,7/26/22,3/14/22,Gut,NA,3/8/23,1,EC,RNA353,1,B1,B1,B1_1,,,
B10_1,P_1B_8,M,1B,147,2/14/22,9/20/21,Kidney,NA,3/4/23,1,JC,R259,1,B10,B10,B10_1,,,
B11_1,P_1B_4,F,1B,147,2/14/22,9/20/21,Kidney,NA,3/4/23,2,JC,R275,1,B11,B11,B11_1,,,
B12_1,J_1B_5,F,1B,49,11/8/21,9/20/21,Kidney,NA,3/4/23,2,EC,R291,1,B12,B12,B12_1,,,
B13_1,J9,F,2,155,8/16/22,3/14/22,Muscle,NA,3/15/23,1,EC,RNA463,1,B13,B13,B13_1,,,
B14_1,P_1B_3,F,1B,77,12/6/21,9/20/21,Muscle,NA,3/15/23,1,EC,RNA479,1,B14,B14,B14_1,,,
B15_1,E04,M,2,102,6/24/22,3/14/22,Muscle,NA,3/17/23,2,EC,RNA495,1,B15,B15,B15_1,,,
B16_1,P_1A_4,M,1A,133,1/19/22,9/8/21,Muscle,NA,3/27/23,3,EC,RNA511,1,B16,B16,B16_1,,,
B17_1,C1,F,2,155,8/16/22,3/14/22,Skin,NA,2/8/23,1,EC,R78,1,B17,B17,B17_1,,,
B18_1,J_1B_7,F,1B,147,2/14/22,9/20/21,Skin,NA,2/8/23,1,IG,R94,1,B18,B18,B18_1,,,
B19_1,C_03,M,2,162,8/23/22,3/14/22,Skin,NA,2/8/23,2,IG,R110,1,B19,B19,B19_1,,,
B2_1,P_1A_10,M,1A,103,12/20/21,9/8/21,Gut,NA,3/8/23,1,EC,RNA369,1,B2,B2,B2_1,,,
B20_1,J_1A_17,M,1A,47,10/25/21,9/8/21,Skin,NA,2/8/23,2,EC,R126,1,B20,B20,B20_1,,,
B21_1,J9,F,2,155,8/16/22,3/14/22,Ovary,NA,2/10/23,1,EC,133,1,B21,B21,B21_1,,,
B22_1,P_1B_10,M,1B,133,1/31/22,9/20/21,Testis,NA,2/10/23,1,IG,153,1,B22,B22,B22_1,,,
B23_1,C_03,M,2,162,8/23/22,3/14/22,Testis,NA,2/24/23,2,EC,165,1,B23,B23,B23_1,,,
B24_1,P_1A_8,F,1A,75,11/22/21,9/8/21,Ovary,NA,2/24/23,2,JC,181,1,B24,B24,B24_1,,,
B3_1,D_06,F,2,52,5/5/22,3/14/22,Gut,NA,3/8/23,1,JC,RNA385,1,B3,B3,B3_1,,,
B4_1,J_1A_22,M,1A,47,10/25/21,9/8/21,Gut,NA,3/9/23,2,EC,RNA401,1,B4,B4,B4_1,,,
B5_1,J05,F,2,102,6/24/22,3/14/22,Liver,NA,1/30/23,2,EC,R02,1,B5,B5,B5_1,,,
B6_1,I05,F,2,134,7/26/22,3/14/22,Liver,NA,1/30/23,2,IG,R18,1,B6,B6,B6_1,,,
B7_1,P_1B_10,M,1B,133,1/31/22,9/20/21,Liver,NA,3/21/22,1,EC,RNA675,1,B7,B7,B7_1,,,
B8_1,J_1B_6,F,1B,133,1/31/22,9/20/21,Liver,NA,3/21/22,1,IG,RNA691,1,B8,B8,B8_1,,,
B9_1,I05,F,2,134,7/26/22,3/14/22,Kidney,NA,3/4/23,1,EC,R243,1,B9,B9,B9_1,,,
C1_1,D_14,F,2,52,5/5/22,3/14/22,Gut,NA,3/8/23,1,EC,RNA354,1,C1,C1,C1_1,,,
C10_1,P_1A_4,M,1A,133,1/19/22,9/8/21,Kidney,NA,3/4/23,1,JC,R260,1,C10,C10,C10_1,,,
C11_1,J_1B_20,M,1B,77,12/6/21,9/20/21,Kidney,NA,3/4/23,2,JC,R276,1,C11,C11,C11_1,,,
C12_1,J_1A_14,M,1A,75,11/22/21,9/8/21,Kidney,NA,3/4/23,2,EC,R292,1,C12,C12,C12_1,,,
C13_1,B01,M,2,134,7/26/22,3/14/22,Muscle,NA,3/15/23,1,EC,RNA464,1,C13,C13,C13_1,,,
C14_1,J_1B_2,M,1B,49,11/8/21,9/20/21,Muscle,NA,3/15/23,1,EC,RNA480,1,C14,C14,C14_1,,,
C15_1,C04,F,2,134,7/26/22,3/14/22,Muscle,NA,3/17/23,2,EC,RNA496,1,C15,C15,C15_1,,,
C16_1,J_1A_22,M,1A,47,10/25/21,9/8/21,Muscle,NA,3/27/23,3,EC,RNA512,1,C16,C16,C16_1,,,
C17_1,D_14,F,2,52,5/5/22,3/14/22,Skin,NA,2/8/23,1,EC,R79,1,C17,C17,C17_1,,,
C18_1,J_1B_2,M,1B,49,11/8/21,9/20/21,Skin,NA,2/8/23,1,IG,R95,1,C18,C18,C18_1,,,
C19_1,J-1B-6,F,1B,133,1/31/22,9/20/21,Skin,NA,2/8/23,2,IG,R111,1,C19,C19,C19_1,,,
C2_1,P_1A_4,M,1A,133,1/19/22,9/8/21,Gut,NA,3/8/23,1,JC,RNA370,1,C2,C2,C2_1,,,
C20_1,P_1B_9,F,1B,49,11/8/21,9/20/21,Skin,NA,2/8/23,2,EC,R127,1,C20,C20,C20_1,,,
C21_1,D12,M,2,134,7/26/22,3/14/22,Testis,NA,2/10/23,1,EC,134,1,C21,C21,C21_1,,,
C22_1,P_1B_4,F,1B,147,2/14/22,9/20/21,Ovary,NA,2/10/23,1,IG,154,1,C22,C22,C22_1,1,1,no aqueous phase
C23_1,J_1B_7,F,1B,147,2/14/22,9/20/21,Ovary,NA,2/24/23,2,EC,166,1,C23,C23,C23_1,,,
C24_1,P_1B_8,M,1B,147,2/14/22,9/20/21,Testis,NA,2/24/23,2,JC,182,1,C24,C24,C24_1,,,
C3_1,A06,F,2,102,6/24/22,3/14/22,Gut,NA,3/8/23,1,JC,RNA386,1,C3,C3,C3_1,,,
C4_1,P_1A_6,M,1A,133,1/19/22,9/8/21,Gut,NA,3/9/23,2,EC,RNA402,1,C4,C4,C4_1,,,
C5_1,J_04,M,2,162,8/23/22,3/14/22,Liver,NA,1/30/23,2,EC,R03,1,C5,C5,C5_1,,,
C6_1,D_14,F,2,52,5/5/22,3/14/22,Liver,NA,1/30/23,2,IG,R19,1,C6,C6,C6_1,,,
C7_1,J_1A_1,M,1A,152,2/7/22,9/8/21,Liver,NA,3/21/22,1,EC,RNA676,1,C7,C7,C7_1,,,
C8_1,P_1B_2,M,1B,133,1/31/22,9/20/21,Liver,NA,3/21/22,1,IG,RNA692,1,C8,C8,C8_1,,,
C9_1,D_05,M,2,162,8/23/22,3/14/22,Kidney,NA,3/4/23,1,EC,R244,1,C9,C9,C9_1,,,
D1_1,E_01,M,2,52,5/5/22,3/14/22,Gut,NA,3/8/23,1,EC,RNA355,1,D1,D1,D1_1,,,
D10_1,P_1B_2,M,1B,133,1/31/22,9/20/21,Kidney,NA,3/4/23,1,JC,R261,1,D10,D10,D10_1,,,
D11_1,J_1A_13,M,1A,75,11/22/21,9/8/21,Kidney,NA,3/4/23,2,JC,R277,1,D11,D11,D11_1,,,
D12_1,J_1A_17,M,1A,47,10/25/21,9/8/21,Kidney,NA,3/4/23,2,EC,R293,1,D12,D12,D12_1,,,
D13_1,A06,F,2,102,6/24/22,3/14/22,Muscle,NA,3/15/23,1,EC,RNA465,1,D13,D13,D13_1,,,
D14_1,P_1A_10,M,1A,103,12/20/21,9/8/21,Muscle,NA,3/17/23,2,EC,RNA481,1,D14,D14,D14_1,,,
D15_1,I06,F,2,78,5/31/22,3/14/22,Muscle,NA,3/17/23,2,EC,RNA497,1,D15,D15,D15_1,,,
D16_1,P_1A_3,M,1A,152,2/7/22,9/8/21,Muscle,NA,3/27/23,3,EC,RNA513,1,D16,D16,D16_1,,,
D17_1,I06,F,2,78,5/31/22,3/14/22,Skin,NA,2/8/23,1,EC,R80,1,D17,D17,D17_1,,,
D18_1,P_1A_2,F,1A,103,12/20/21,9/8/21,Skin,NA,2/8/23,1,IG,R96,1,D18,D18,D18_1,,,
D19_1,J_1A_25,M,1A,103,12/20/21,9/8/21,Skin,NA,2/8/23,2,IG,R112,1,D19,D19,D19_1,,,
D2_1,J_1B_4,M,1B,161,2/28/22,9/20/21,Gut,NA,3/8/23,1,JC,RNA371,1,D2,D2,D2_1,,,
D20_1,J_1A_14,M,1A,75,11/22/21,9/8/21,Skin,NA,2/8/23,2,EC,R128,1,D20,D20,D20_1,,,
D21_1,I06,F,2,78,5/31/22,3/14/22,Ovary,NA,2/10/23,1,EC,135,1,D21,D21,D21_1,,,
D22_1,J-1B-6,F,1B,133,1/31/22,9/20/21,Ovary,NA,2/10/23,1,IG,144,1,D22,D22,D22_1,1,1,clogged the filter during RNA prep
D23_1,P_1A_10,M,1A,103,12/20/21,9/8/21,Testis,NA,2/24/23,2,EC,167,1,D23,D23,D23_1,,,
D24_1,P_1B_2,M,1B,133,1/31/22,9/20/21,Testis,NA,2/24/23,2,JC,183,1,D24,D24,D24_1,,,
D3_1,J_04,M,2,162,8/23/22,3/14/22,Gut,NA,3/8/23,1,JC,RNA387,1,D3,D3,D3_1,,,
D4_1,P_1B_4,F,1B,147,2/14/22,9/20/21,Gut,NA,3/9/23,2,EC,RNA403,1,D4,D4,D4_1,,,
D5_1,F05,M,2,102,6/24/22,3/14/22,Liver,NA,1/30/23,2,EC,R04,1,D5,D5,D5_1,,,
D6_1,D_05,M,2,162,8/23/22,3/14/22,Liver,NA,1/30/23,2,IG,R20,1,D6,D6,D6_1,,,
D7_1,P_1B_4,F,1B,147,2/14/22,9/20/21,Liver,NA,3/21/22,1,EC,RNA677,1,D7,D7,D7_1,,,
D8_1,P_1A_3,M,1A,152,2/7/22,9/8/21,Liver,NA,3/21/22,1,IG,RNA693,1,D8,D8,D8_1,,,
D9_1,B01,M,2,134,7/26/22,3/14/22,Kidney,NA,3/4/23,1,EC,R245,1,D9,D9,D9_1,,,
E1_1,A01,M,2,78,5/31/22,3/14/22,Gut,NA,3/8/23,1,EC,RNA356,1,E1,E1,E1_1,,,
E10_1,P_1A_2,F,1A,103,12/20/21,9/8/21,Kidney,NA,3/4/23,1,JC,R262,1,E10,E10,E10_1,,,
E11_1,A06,F,2,102,6/24/22,3/14/22,Kidney,NA,3/4/23,2,JC,R278,1,E11,E11,E11_1,,,
E12_1,J_1B_7,F,1B,147,2/14/22,9/20/21,Kidney,NA,3/4/23,2,EC,R294,1,E12,E12,E12_1,,,
E13_1,A01,M,2,78,5/31/22,3/14/22,Muscle,NA,3/15/23,1,EC,RNA466,1,E13,E13,E13_1,,,
E14_1,P_1B_4,F,1B,147,2/14/22,9/20/21,Muscle,NA,3/17/23,2,EC,RNA482,1,E14,E14,E14_1,,,
E15_1,A17,M,2,78,5/31/22,3/14/22,Muscle,NA,3/17/23,2,EC,RNA498,1,E15,E15,E15_1,,,
E16_1,J_1A_1,M,1A,152,2/7/22,9/8/21,Muscle,NA,3/27/23,3,EC,RNA514,1,E16,E16,E16_1,,,
E17_1,A17,M,2,78,5/31/22,3/14/22,Skin,NA,2/8/23,1,EC,R81,1,E17,E17,E17_1,,,
E18_1,P_1A_12,F,1A,75,11/22/21,9/8/21,Skin,NA,2/8/23,1,IG,R97,1,E18,E18,E18_1,,,
E19_1,J_1B_20,M,1B,77,12/6/21,9/20/21,Skin,NA,2/8/23,2,IG,R113,1,E19,E19,E19_1,,,
E2_1,J_1B_7,F,1B,147,2/14/22,9/20/21,Gut,NA,3/8/23,1,JC,RNA372,1,E2,E2,E2_1,,,
E20_1,J_1A_22,M,1A,47,10/25/21,9/8/21,Skin,NA,2/8/23,2,EC,R129,1,E20,E20,E20_1,,,
E21_1,B01,M,2,134,7/26/22,3/14/22,Testis,NA,2/10/23,1,EC,136,1,E21,E21,E21_1,,,
E22_1,P_1A_1,F,1A,47,10/25/21,9/8/21,Ovary,NA,2/10/23,1,IG,145,1,E22,E22,E22_1,1,1,clogged the filter during RNA prep
E23_1,J_1A_25,M,1A,103,12/20/21,9/8/21,Testis,NA,2/24/23,2,EC,168,1,E23,E23,E23_1,,,
E24_1,P_1A_6,M,1A,133,1/19/22,9/8/21,Testis,NA,2/24/23,2,JC,184,1,E24,E24,E24_1,,,
E3_1,I06,F,2,78,5/31/22,3/14/22,Gut,NA,3/9/23,2,EC,RNA388,1,E3,E3,E3_1,,,
E4_1,J_1A_1,M,1A,152,2/7/22,9/8/21,Gut,NA,3/9/23,2,EC,RNA404,1,E4,E4,E4_1,,,
E5_1,I_03,M,2,162,8/23/22,3/14/22,Liver,NA,1/30/23,2,EC,R05,1,E5,E5,E5_1,,,
E6_1,C04,F,2,134,7/26/22,3/14/22,Liver,NA,1/30/23,2,IG,R21,1,E6,E6,E6_1,,,
E7_1,P_1B_8,M,1B,147,2/14/22,9/20/21,Liver,NA,3/21/22,1,EC,RNA678,1,E7,E7,E7_1,,,
E8_1,J_1B_7,F,1B,147,2/14/22,9/20/21,Liver,NA,3/21/22,1,IG,RNA694,1,E8,E8,E8_1,,,
E9_1,A01,M,2,78,5/31/22,3/14/22,Kidney,NA,3/4/23,1,EC,R246,1,E9,E9,E9_1,,,
F1_1,C_03,M,2,162,8/23/22,3/14/22,Gut,NA,3/8/23,1,EC,RNA357,1,F1,F1,F1_1,,,
F10_1,P_1B_9,F,1B,49,11/8/21,9/20/21,Kidney,NA,3/4/23,1,JC,R263,1,F10,F10,F10_1,,,
F11_1,C_03,M,2,162,8/23/22,3/14/22,Kidney,NA,3/4/23,2,JC,R279,1,F11,F11,F11_1,,,
F12_1,P_1A_10,M,1A,103,12/20/21,9/8/21,Kidney,NA,3/4/23,2,EC,R295,1,F12,F12,F12_1,,,
F13_1,C_03,M,2,162,8/23/22,3/14/22,Muscle,NA,3/15/23,1,EC,RNA467,1,F13,F13,F13_1,,,
F14_1,J_1B_7,F,1B,147,2/14/22,9/20/21,Muscle,NA,3/17/23,2,EC,RNA483,1,F14,F14,F14_1,,,
F15_1,P_1B_10,M,1B,133,1/31/22,9/20/21,Muscle,NA,3/27/23,3,EC,RNA499,1,F15,F15,F15_1,,,
F16_1,J_1B_5,F,1B,49,11/8/21,9/20/21,Muscle,NA,3/27/23,3,EC,RNA515,1,F16,F16,F16_1,,,
F17_1,B01,M,2,134,7/26/22,3/14/22,Skin,NA,2/8/23,1,EC,R82,1,F17,F17,F17_1,,,
F18_1,P_1B_4,F,1B,147,2/14/22,9/20/21,Skin,NA,2/8/23,1,IG,R98,1,F18,F18,F18_1,,,
F19_1,P_1A_3,M,1A,152,2/7/22,9/8/21,Skin,NA,2/8/23,2,IG,R114,1,F19,F19,F19_1,,,
F2_1,P_1B_11,M,1B,147,2/14/22,9/20/21,Gut,NA,3/8/23,1,JC,RNA373,1,F2,F2,F2_1,,,
F20_1,P_1A_1,F,1A,47,10/25/21,9/8/21,Skin,NA,2/8/23,2,EC,R130,1,F20,F20,F20_1,,,
F21_1,I05,F,2,134,7/26/22,3/14/22,Ovary,NA,2/10/23,1,EC,137,1,F21,F21,F21_1,1,2,bad RNA quality after thaw
F22_1,P_1A_2,F,1A,103,12/20/21,9/8/21,Ovary,NA,2/10/23,1,IG,146,1,F22,F22,F22_1,1,1,no aqueous phase
F23_1,J_1A_17,M,1A,47,10/25/21,9/8/21,Testis,NA,2/24/23,2,EC,169,1,F23,F23,F23_1,,,
F24_1,J_1B_5,F,1B,49,11/8/21,9/20/21,Ovary,NA,2/24/23,2,JC,185,1,F24,F24,F24_1,,,
F3_1,D_05,M,2,162,8/23/22,3/14/22,Gut,NA,3/9/23,2,EC,RNA389,1,F3,F3,F3_1,,,
F4_1,J_1A_14,M,1A,75,11/22/21,9/8/21,Gut,NA,3/9/23,2,EC,RNA405,1,F4,F4,F4_1,,,
F5_1,H_02,M,2,52,5/5/22,3/14/22,Liver,NA,1/30/23,2,EC,R06,1,F5,F5,F5_1,,,
F6_1,E04,M,2,102,6/24/22,3/14/22,Liver,NA,1/30/23,2,IG,R22,1,F6,F6,F6_1,,,
F7_1,J_1B_11,M,1B,161,2/28/22,9/20/21,Liver,NA,3/21/22,1,EC,RNA679,1,F7,F7,F7_1,,,
F8_1,P_1B_11,M,1B,147,2/14/22,9/20/21,Liver,NA,3/21/22,1,IG,RNA695,1,F8,F8,F8_1,,,
F9_1,J9,F,2,155,8/16/22,3/14/22,Kidney,NA,3/4/23,1,EC,R247,1,F9,F9,F9_1,,,
G1_1,I_03,M,2,162,8/23/22,3/14/22,Gut,NA,3/8/23,1,EC,RNA358,1,G1,G1,G1_1,,,
G10_1,P_1A_3,M,1A,152,2/7/22,9/8/21,Kidney,NA,3/4/23,1,JC,R264,1,G10,G10,G10_1,,,
G11_1,D_06,F,2,52,5/5/22,3/14/22,Kidney,NA,3/4/23,2,JC,R280,1,G11,G11,G11_1,,,
G12_1,J_1A_25,M,1A,103,12/20/21,9/8/21,Kidney,NA,3/4/23,2,EC,R296,1,G12,G12,G12_1,,,
G13_1,J05,F,2,102,6/24/22,3/14/22,Muscle,NA,3/15/23,1,EC,RNA468,1,G13,G13,G13_1,,,
G14_1,P_1A_8,F,1A,75,11/22/21,9/8/21,Muscle,NA,3/17/23,2,EC,RNA484,1,G14,G14,G14_1,,,
G15_1,P_1B_9,F,1B,49,11/8/21,9/20/21,Muscle,NA,3/27/23,3,EC,RNA500,1,G15,G15,G15_1,,,
G16_1,J_1B_20,M,1B,77,12/6/21,9/20/21,Muscle,NA,3/27/23,3,EC,RNA516,1,G16,G16,G16_1,,,
G17_1,I05,F,2,134,7/26/22,3/14/22,Skin,NA,2/8/23,1,EC,R83,1,G17,G17,G17_1,,,
G18_1,P_1A_6,M,1A,133,1/19/22,9/8/21,Skin,NA,2/8/23,1,IG,R99,1,G18,G18,G18_1,,,
G19_1,J_1B_12,M,1B,49,11/8/21,9/20/21,Skin,NA,2/8/23,2,IG,R115,1,G19,G19,G19_1,,,
G2_1,P_1A_2,F,1A,103,12/20/21,9/8/21,Gut,NA,3/8/23,1,JC,RNA374,1,G2,G2,G2_1,,,
G20_1,P_1B_8,M,1B,147,2/14/22,9/20/21,Skin,NA,2/8/23,2,EC,R131,1,G20,G20,G20_1,,,
G21_1,H_02,M,2,52,5/5/22,3/14/22,Testis,NA,2/10/23,1,EC,138,1,G21,G21,G21_1,,,
G22_1,J_1A_24,F,1A,47,10/25/21,9/8/21,Ovary,NA,2/10/23,1,IG,147,1,G22,G22,G22_1,1,1,no aqueous phase
G23_1,P_1B_3,F,1B,77,12/6/21,9/20/21,Ovary,NA,2/24/23,2,EC,170,1,G23,G23,G23_1,,,
G24_1,P_1B_11,M,1B,147,2/14/22,9/20/21,Testis,NA,2/24/23,2,JC,186,1,G24,G24,G24_1,,,
G3_1,J-1B-6,F,1B,133,1/31/22,9/20/21,Gut,NA,3/9/23,2,EC,RNA390,1,G3,G3,G3_1,,,
G4_1,P_1A_1,F,1A,47,10/25/21,9/8/21,Gut,NA,3/9/23,2,EC,RNA406,1,G4,G4,G4_1,,,
G5_1,E02,F,2,78,5/31/22,3/14/22,Liver,NA,1/30/23,2,EC,R07,1,G5,G5,G5_1,,,
G6_1,J_1A_24,F,1A,47,10/25/21,9/8/21,Liver,NA,3/21/22,1,EC,RNA664,1,G6,G6,G6_1,,,
G7_1,P_1A_1,F,1A,47,10/25/21,9/8/21,Liver,NA,3/21/22,1,IG,RNA680,1,G7,G7,G7_1,,,
G8_1,J_1B_4,M,1B,161,2/28/22,9/20/21,Liver,NA,3/21/22,1,IG,RNA696,1,G8,G8,G8_1,,,
G9_1,I06,F,2,78,5/31/22,3/14/22,Kidney,NA,3/4/23,1,EC,R248,1,G9,G9,G9_1,,,
H1_1,H_02,M,2,52,5/5/22,3/14/22,Gut,NA,3/8/23,1,EC,RNA359,1,H1,H1,H1_1,,,
H10_1,P_1A_8,F,1A,75,11/22/21,9/8/21,Kidney,NA,3/4/23,1,JC,R265,1,H10,H10,H10_1,,,
H11_1,E_01,M,2,52,5/5/22,3/14/22,Kidney,NA,3/4/23,2,JC,R281,1,H11,H11,H11_1,,,
H13_1,D_06,F,2,52,5/5/22,3/14/22,Muscle,NA,3/15/23,1,EC,RNA469,1,H13,H13,H13_1,,,
H14_1,P_1A_6,M,1A,133,1/19/22,9/8/21,Muscle,NA,3/17/23,2,EC,RNA485,1,H14,H14,H14_1,,,
H15_1,J_1B_12,M,1B,49,11/8/21,9/20/21,Muscle,NA,3/27/23,3,EC,RNA501,1,H15,H15,H15_1,,,
