,animalID,sex,cohort,age_days,harvest_date,hatch_date,tissue,tissue_grind_date,RNA_extract_date,RNA_batch,RNA_extractor,RNAID,cDNA_batch,plate_well,sampleName,lib,censored,censor_code,notes
I2_2,C04,F,2,134,7/26/22,3/14/22,Bone,4/26/23,4/22/23,2,EC,RNA598,2,I2,I2,I2_2,,,
I20_2,A01,M,2,78,5/31/22,3/14/22,Eye,NA,NA,1,MRW,659,2,I20,I20,I20_2,,,
I21_2,D_14,F,2,52,5/5/22,3/14/22,Brain,NA,1/31/23,1,IG,R31,2,I21,I21,I21_2,,,
I22_2,C_03,M,2,162,8/23/22,3/14/22,Brain,NA,2/1/23,2,EC,R47,2,I22,I22,I22_2,,,
I23_2,J-1B-18,F,1B,133,1/31/22,9/20/21,Brain,NA,2/1/23,2,IG,R63,2,I23,I23,I23_2,,,
I3_2,J_1A_25,M,1A,103,12/20/21,9/8/21,Bone,4/28/23,4/29/23,3,EC,RNA614,2,I3,I3,I3_2,,,
I4_2,P_1A_2,F,1A,103,12/20/21,9/8/21,Eye,NA,NA,1,MRW,627,2,I4,I4,I4_2,,,
I5_2,C04,F,2,134,7/26/22,3/14/22,Fat,4/11/23,4/16/23,1,EC,RNA525,2,I5,I5,I5_2,,,
I6_2,P_1A_12,F,1A,75,11/22/21,9/8/21,Fat,4/12/23,4/17/23,2,EC,RNA541,2,I6,I6,I6_2,,,
I7_2,J-1B-18,F,1B,133,1/31/22,9/20/21,Fat,4/12/23,4/19/23,3,EC,RNA558,2,I7,I7,I7_2,,,
I8_2,E02,F,2,78,5/31/22,3/14/22,Eye,NA,NA,1,MRW,635,2,I8,I8,I8_2,,,
I9_2,E_01,M,2,52,5/5/22,3/14/22,SpinalCord,NA,3/10/23,1,EC,RNA415,2,I9,I9,I9_2,,,
J1_2,F05,M,2,102,6/24/22,3/14/22,Bone,4/19/23,4/22/23,1,EC,RNA581,2,J1,J1,J1_2,,,
J10_2,J_1B_2,M,1B,49,11/8/21,9/20/21,SpinalCord,NA,3/13/23,2,JC,RNA432,2,J10,J10,J10_2,,,
J11_2,J-1B-6,F,1B,133,1/31/22,9/20/21,SpinalCord,NA,3/13/23,2,EC,RNA448,2,J11,J11,J11_2,,,
J12_2,NA,M,NA,103,,,Eye,NA,NA,1,MRW,644,2,J12,J12,J12_2,,,
J13_2,I05,F,2,134,7/26/22,3/14/22,Heart,NA,3/3/23,1,EC,R196,2,J13,J13,J13_2,,,
J14_2,J_1B_12,M,1B,49,11/8/21,9/20/21,Heart,NA,3/3/23,1,JC,R212,2,J14,J14,J14_2,,,
J15_2,J_04,M,2,162,8/23/22,3/14/22,Heart,NA,3/3/23,2,EC,R228,2,J15,J15,J15_2,,,
J16_2,J_1B_7,F,1B,147,2/14/22,9/20/21,Eye,NA,NA,1,MRW,652,2,J16,J16,J16_2,,,
J17_2,A17,M,2,78,5/31/22,3/14/22,Spleen,NA,3/6/23,1,EC,RNA306,2,J17,J17,J17_2,,,
J18_2,P_1A_2,F,1A,103,12/20/21,9/8/21,Spleen,NA,3/6/23,1,JC,RNA322,2,J18,J18,J18_2,,,
J19_2,J_1A_17,M,1A,47,10/25/21,9/8/21,Spleen,NA,3/6/23,2,EC,RNA338,2,J19,J19,J19_2,,,
J2_2,I05,F,2,134,7/26/22,3/14/22,Bone,4/26/23,4/22/23,2,EC,RNA599,2,J2,J2,J2_2,,,
J20_2,P_1B_8,M,1B,147,2/14/22,9/20/21,Eye,NA,NA,1,MRW,660,2,J20,J20,J20_2,,,
J21_2,J9,F,2,155,8/16/22,3/14/22,Brain,NA,1/31/23,1,IG,R32,2,J21,J21,J21_2,,,
J22_2,E02,F,2,78,5/31/22,3/14/22,Brain,NA,2/1/23,2,EC,R48,2,J22,J22,J22_2,,,
J23_2,P_1B_8,M,1B,147,2/14/22,9/20/21,Brain,NA,2/1/23,2,IG,R64,2,J23,J23,J23_2,,,
J3_2,P_1B_8,M,1B,147,2/14/22,9/20/21,Bone,4/28/23,4/29/23,3,EC,RNA615,2,J3,J3,J3_2,,,
J4_2,P_1A_12,F,1A,75,11/22/21,9/8/21,Eye,NA,NA,1,MRW,628,2,J4,J4,J4_2,,,
J5_2,D_05,M,2,162,8/23/22,3/14/22,Fat,4/11/23,4/16/23,1,EC,RNA526,2,J5,J5,J5_2,,,
J6_2,J_1B_20,M,1B,77,12/6/21,9/20/21,Fat,4/12/23,4/17/23,2,EC,RNA542,2,J6,J6,J6_2,,,
J7_2,J_1B_7,F,1B,147,2/14/22,9/20/21,Fat,4/12/23,4/19/23,3,EC,RNA559,2,J7,J7,J7_2,,,
J8_2,J04,M,2,162,8/23/22,3/14/22,Eye,NA,NA,1,MRW,636,2,J8,J8,J8_2,,,
J9_2,C_03,M,2,162,8/23/22,3/14/22,SpinalCord,NA,3/10/23,1,EC,RNA416,2,J9,J9,J9_2,,,
K1_2,P_1A_3,M,1A,152,2/7/22,9/8/21,Bone,4/19/23,4/22/23,1,EC,RNA583,2,K1,K1,K1_2,,,
K10_2,P_1A_6,M,1A,133,1/19/22,9/8/21,SpinalCord,NA,3/13/23,2,JC,RNA433,2,K10,K10,K10_2,,,
K11_2,J-1B-18,F,1B,133,1/31/22,9/20/21,SpinalCord,NA,3/13/23,2,EC,RNA449,2,K11,K11,K11_2,,,
K12_2,F05,F,2,102,6/24/22,3/14/22,Eye,NA,NA,1,MRW,645,2,K12,K12,K12_2,,,
K13_2,J9,F,2,155,8/16/22,3/14/22,Heart,NA,3/3/23,1,EC,R197,2,K13,K13,K13_2,,,
K14_2,P_1B_1,F,1B,77,12/6/21,9/20/21,Heart,NA,3/3/23,1,JC,R213,2,K14,K14,K14_2,,,
K15_2,C04,F,2,134,7/26/22,3/14/22,Heart,NA,3/3/23,2,EC,R229,2,K15,K15,K15_2,,,
K16_2,C03,M,2,162,8/23/22,3/14/22,Eye,NA,NA,1,MRW,653,2,K16,K16,K16_2,,,
K17_2,E02,F,2,78,5/31/22,3/14/22,Spleen,NA,3/6/23,1,EC,RNA307,2,K17,K17,K17_2,,,
K18_2,P_1B_10,M,1B,133,1/31/22,9/20/21,Spleen,NA,3/6/23,1,JC,RNA323,2,K18,K18,K18_2,,,
K19_2,J_1B_2,M,1B,49,11/8/21,9/20/21,Spleen,NA,3/6/23,2,EC,RNA339,2,K19,K19,K19_2,,,
K2_2,D_14,F,2,52,5/5/22,3/14/22,Bone,4/26/23,4/22/23,2,EC,RNA600,2,K2,K2,K2_2,,,
K20_2,J_1A_1,M,1A,152,2/7/22,9/8/21,Eye,NA,NA,1,MRW,661,2,K20,K20,K20_2,,,
K21_2,J_04,M,2,162,8/23/22,3/14/22,Brain,NA,1/31/23,1,IG,R33,2,K21,K21,K21_2,,,
K22_2,C04,F,2,134,7/26/22,3/14/22,Brain,NA,2/1/23,2,EC,R49,2,K22,K22,K22_2,,,
K23_2,P_1A_6,M,1A,133,1/19/22,9/8/21,Brain,NA,2/1/23,2,IG,R65,2,K23,K23,K23_2,,,
K3_2,J_1B_11,M,1B,161,2/28/22,9/20/21,Bone,4/28/23,4/29/23,3,EC,RNA616,2,K3,K3,K3_2,,,
K4_2,NA,F,NA,103,,,Eye,NA,NA,1,MRW,629,2,K4,K4,K4_2,,,
K5_2,D12,M,2,134,7/26/22,3/14/22,Fat,4/11/23,4/16/23,1,EC,RNA527,2,K5,K5,K5_2,,,
K6_2,J9,F,2,155,8/16/22,3/14/22,Fat,4/12/23,4/17/23,2,EC,RNA543,2,K6,K6,K6_2,,,
K7_2,J_1B_5,F,1B,49,11/8/21,9/20/21,Fat,4/12/23,4/19/23,3,EC,RNA560,2,K7,K7,K7_2,,,
K8_2,J_1A_14-and-J_1A_13,M,1A,75,11/22/21,9/8/21,Eye,NA,NA,1,MRW,637,2,K8,K8,K8_2,,,
K9_2,I05,F,2,134,7/26/22,3/14/22,SpinalCord,NA,3/10/23,1,EC,RNA417,2,K9,K9,K9_2,,,
L1_2,J_1B_20,M,1B,77,12/6/21,9/20/21,Bone,4/19/23,4/22/23,1,EC,RNA584,2,L1,L1,L1_2,,,
L10_2,A17,M,2,78,5/31/22,3/14/22,SpinalCord,NA,3/13/23,2,JC,RNA434,2,L10,L10,L10_2,,,
L11_2,J_1A_17,M,1A,47,10/25/21,9/8/21,SpinalCord,NA,3/13/23,2,EC,RNA450,2,L11,L11,L11_2,,,
L12_2,J05,M,2,102,6/24/22,3/14/22,Eye,NA,NA,1,MRW,646,2,L12,L12,L12_2,,,
L13_2,A06,F,2,102,6/24/22,3/14/22,Heart,NA,3/3/23,1,EC,R198,2,L13,L13,L13_2,,,
L14_2,P_1B_10,M,1B,133,1/31/22,9/20/21,Heart,NA,3/3/23,1,JC,R214,2,L14,L14,L14_2,,,
L15_2,P_1A_3,M,1A,152,2/7/22,9/8/21,Heart,NA,3/3/23,2,EC,R230,2,L15,L15,L15_2,,,
L16_2,P_1B_11,M,1B,147,2/14/22,9/20/21,Eye,NA,NA,1,MRW,654,2,L16,L16,L16_2,,,
L17_2,P_1A_6,M,1A,133,1/19/22,9/8/21,Spleen,NA,3/6/23,1,EC,RNA308,2,L17,L17,L17_2,,,
L18_2,D_06,F,2,52,5/5/22,3/14/22,Spleen,NA,3/6/23,1,JC,RNA324,2,L18,L18,L18_2,,,
L19_2,J_1B_20,M,1B,77,12/6/21,9/20/21,Spleen,NA,3/6/23,2,EC,RNA340,2,L19,L19,L19_2,,,
L2_2,J_04,M,2,162,8/23/22,3/14/22,Bone,4/26/23,4/22/23,2,EC,RNA601,2,L2,L2,L2_2,,,
L20_2,D05,M,2,162,8/23/22,3/14/22,Eye,NA,NA,1,MRW,662,2,L20,L20,L20_2,,,
L21_2,A06,F,2,102,6/24/22,3/14/22,Brain,NA,1/31/23,1,IG,R34,2,L21,L21,L21_2,,,
L22_2,C1,F,2,155,8/16/22,3/14/22,Brain,NA,2/1/23,2,EC,R50,2,L22,L22,L22_2,,,
L23_2,J_1A_13,M,1A,75,11/22/21,9/8/21,Brain,NA,2/1/23,2,IG,R66,2,L23,L23,L23_2,,,
L3_2,J_1B_4,M,1B,161,2/28/22,9/20/21,Bone,4/28/23,4/29/23,3,EC,RNA617,2,L3,L3,L3_2,,,
L4_2,A06,M,2,102,6/24/22,3/14/22,Eye,NA,NA,1,MRW,630,2,L4,L4,L4_2,,,
L5_2,J_1A_14,M,1A,75,11/22/21,9/8/21,Fat,4/12/23,4/16/23,1,EC,RNA528,2,L5,L5,L5_2,,,
L6_2,D_14,F,2,52,5/5/22,3/14/22,Fat,4/12/23,4/17/23,2,EC,RNA544,2,L6,L6,L6_2,,,
L7_2,J_1B_4,M,1B,161,2/28/22,9/20/21,Fat,4/12/23,4/19/23,3,EC,RNA561,2,L7,L7,L7_2,,,
L8_2,P_1A_3,M,1A,152,2/7/22,9/8/21,Eye,NA,NA,1,MRW,638,2,L8,L8,L8_2,,,
L9_2,J_1B_20,M,1B,77,12/6/21,9/20/21,SpinalCord,NA,3/10/23,1,EC,RNA418,2,L9,L9,L9_2,,,
M1_2,P_1B_11,M,1B,147,2/14/22,9/20/21,Bone,4/19/23,4/22/23,1,EC,RNA585,2,M1,M1,M1_2,,,
M10_2,J05,F,2,102,6/24/22,3/14/22,SpinalCord,NA,3/13/23,2,JC,RNA435,2,M10,M10,M10_2,,,
M11_2,P_1A_1,F,1A,47,10/25/21,9/8/21,SpinalCord,NA,3/13/23,2,EC,RNA451,2,M11,M11,M11_2,,,
M12_2,J_1B_13-and-J_1B_20,M,1B,77,12/6/21,9/20/21,Eye,NA,NA,1,MRW,647,2,M12,M12,M12_2,,,
M13_2,F05,M,2,102,6/24/22,3/14/22,Heart,NA,3/3/23,1,EC,R199,2,M13,M13,M13_2,,,
M14_2,J-1B-6,F,1B,133,1/31/22,9/20/21,Heart,NA,3/3/23,1,JC,R215,2,M14,M14,M14_2,,,
M15_2,J_1B_4,M,1B,161,2/28/22,9/20/21,Heart,NA,3/3/23,2,EC,R231,2,M15,M15,M15_2,,,
M16_2,NA,F,NA,103,,,Eye,NA,NA,1,MRW,655,2,M16,M16,M16_2,,,
M17_2,P_1A_10,M,1A,103,12/20/21,9/8/21,Spleen,NA,3/6/23,1,EC,RNA309,2,M17,M17,M17_2,,,
M18_2,D_05,M,2,162,8/23/22,3/14/22,Spleen,NA,3/6/23,1,JC,RNA325,2,M18,M18,M18_2,,,
M19_2,P_1A_1,F,1A,47,10/25/21,9/8/21,Spleen,NA,3/6/23,2,EC,RNA341,2,M19,M19,M19_2,,,
M2_2,D_05,M,2,162,8/23/22,3/14/22,Bone,4/26/23,4/22/23,2,EC,RNA602,2,M2,M2,M2_2,,,
M20_2,I06,F,2,78,5/31/22,3/14/22,Eye,NA,NA,1,MRW,663,2,M20,M20,M20_2,,,
M21_2,P_1A_12,F,1A,75,11/22/21,9/8/21,Brain,NA,1/31/23,1,EC,R35,2,M21,M21,M21_2,,,
M22_2,E_01,M,2,52,5/5/22,3/14/22,Brain,NA,2/1/23,2,EC,R51,2,M22,M22,M22_2,,,
M23_2,P_1B_10,M,1B,133,1/31/22,9/20/21,Brain,NA,2/1/23,2,IG,R67,2,M23,M23,M23_2,,,
M3_2,P_1A_12,F,1A,75,11/22/21,9/8/21,Bone,4/28/23,4/29/23,3,EC,RNA618,2,M3,M3,M3_2,,,
M4_2,P_1B_1-and-P_1B_3,F,1B,77,12/6/21,9/20/21,Eye,NA,NA,1,MRW,631,2,M4,M4,M4_2,,,
M5_2,P_1B_3,F,1B,77,12/6/21,9/20/21,Fat,4/12/23,4/16/23,1,EC,RNA529,2,M5,M5,M5_2,,,
M6_2,E02,F,2,78,5/31/22,3/14/22,Fat,4/12/23,4/17/23,2,EC,RNA545,2,M6,M6,M6_2,,,
M7_2,P_1A_8,F,1A,75,11/22/21,9/8/21,Fat,4/12/23,4/19/23,3,EC,RNA562,2,M7,M7,M7_2,,,
M8_2,J_1B_12-and-J_1B_2,M,1B,49,11/8/21,9/20/21,Eye,NA,NA,1,MRW,639,2,M8,M8,M8_2,,,
M9_2,P_1A_2,F,1A,103,12/20/21,9/8/21,SpinalCord,NA,3/10/23,1,EC,RNA419,2,M9,M9,M9_2,,,
N1_2,P_1B_3,F,1B,77,12/6/21,9/20/21,Bone,4/19/23,4/22/23,1,EC,RNA587,2,N1,N1,N1_2,,,
N10_2,C04,F,2,134,7/26/22,3/14/22,SpinalCord,NA,3/13/23,2,JC,RNA436,2,N10,N10,N10_2,,,
N11_2,P_1A_10,M,1A,103,12/20/21,9/8/21,SpinalCord,NA,3/13/23,2,EC,RNA452,2,N11,N11,N11_2,,,
N12_2,P_1B_9-and-J_1B_5,F,1B,49,11/8/21,9/20/21,Eye,NA,NA,1,MRW,648,2,N12,N12,N12_2,,,
N13_2,A17,M,2,78,5/31/22,3/14/22,Heart,NA,3/3/23,1,EC,R200,2,N13,N13,N13_2,,,
N14_2,J_1B_11,M,1B,161,2/28/22,9/20/21,Heart,NA,3/3/23,1,JC,R216,2,N14,N14,N14_2,,,
N15_2,P_1B_8,M,1B,147,2/14/22,9/20/21,Heart,NA,3/3/23,2,EC,R232,2,N15,N15,N15_2,,,
N16_2,P_1A_4,M,1A,133,1/19/22,9/8/21,Eye,NA,NA,1,MRW,656,2,N16,N16,N16_2,,,
N17_2,J_1B_11,M,1B,161,2/28/22,9/20/21,Spleen,NA,3/6/23,1,EC,RNA310,2,N17,N17,N17_2,,,
N18_2,D_14,F,2,52,5/5/22,3/14/22,Spleen,NA,3/6/23,1,JC,RNA326,2,N18,N18,N18_2,,,
N19_2,J_1A_1,M,1A,152,2/7/22,9/8/21,Spleen,NA,3/6/23,2,EC,RNA342,2,N19,N19,N19_2,,,
N2_2,D_06,F,2,52,5/5/22,3/14/22,Bone,4/26/23,4/22/23,2,EC,RNA603,2,N2,N2,N2_2,,,
N21_2,J_1A_22,M,1A,47,10/25/21,9/8/21,Brain,NA,1/31/23,1,EC,R36,2,N21,N21,N21_2,,,
N22_2,D_06,F,2,52,5/5/22,3/14/22,Brain,NA,2/1/23,2,EC,R52,2,N22,N22,N22_2,,,
N23_2,J_1B_13,M,1B,77,12/6/21,9/20/21,Brain,NA,2/1/23,2,IG,R68,2,N23,N23,N23_2,,,
N3_2,J_1A_17,M,1A,47,10/25/21,9/8/21,Bone,4/28/23,4/29/23,3,EC,RNA619,2,N3,N3,N3_2,,,
N4_2,P_1A_1-and-J_1A_24,F,1A,47,10/25/21,9/8/21,Eye,NA,NA,1,MRW,632,2,N4,N4,N4_2,,,
N5_2,J_1B_11,M,1B,161,2/28/22,9/20/21,Fat,4/12/23,4/16/23,1,EC,RNA530,2,N5,N5,N5_2,,,
N6_2,F05,M,2,102,6/24/22,3/14/22,Fat,4/12/23,4/17/23,2,EC,RNA546,2,N6,N6,N6_2,,,
N7_2,P_1A_2,F,1A,103,12/20/21,9/8/21,Fat,4/12/23,4/19/23,3,EC,RNA563,2,N7,N7,N7_2,,,
N8_2,J_1B_4,M,1B,161,2/28/22,9/20/21,Eye,NA,NA,1,MRW,640,2,N8,N8,N8_2,,,
N9_2,J_1B_12,M,1B,49,11/8/21,9/20/21,SpinalCord,NA,3/10/23,1,EC,RNA420,2,N9,N9,N9_2,,,
NA,J_1A_22,M,1A,47,10/25/21,9/8/21,SpinalCord,NA,3/13/23,2,EC,RNA456,2,NA,NA,NA,1,1,lost during tissue grinding
NA,P_1A_4,M,1A,133,1/19/22,9/8/21,Fat,4/12/23,4/19/23,3,EC,RNA556,2,NA,NA,NA,1,1,lost during tissue grinding
NA,J_1A_13,M,1A,75,11/22/21,9/8/21,Fat,4/12/23,4/19/23,3,EC,RNA565,2,NA,NA,NA,1,1,lost during tissue grinding
NA,E04,M,2,102,6/24/22,3/14/22,Bone,4/19/23,4/22/23,1,EC,RNA582,2,NA,NA,NA,1,1,lost during tissue grinding
NA,J_1B_7,F,1B,147,2/14/22,9/20/21,Bone,4/19/23,4/22/23,1,EC,RNA586,2,NA,NA,NA,1,1,"before RNA extract, tube exploded"
O1_2,P_1B_1,F,1B,77,12/6/21,9/20/21,Bone,4/19/23,4/22/23,1,EC,RNA588,2,O1,O1,O1_2,,,
O10_2,C1,F,2,155,8/16/22,3/14/22,SpinalCord,NA,3/13/23,2,JC,RNA437,2,O10,O10,O10_2,,,
O11_2,J_1A_13,M,1A,75,11/22/21,9/8/21,SpinalCord,NA,3/13/23,2,EC,RNA453,2,O11,O11,O11_2,,,
O12_2,NA,F,NA,103,,,Eye,NA,NA,1,MRW,649,2,O12,O12,O12_2,,,
O13_2,E_01,M,2,52,5/5/22,3/14/22,Heart,NA,3/3/23,1,EC,R201,2,O13,O13,O13_2,,,
O14_2,P_1A_4,M,1A,133,1/19/22,9/8/21,Heart,NA,3/3/23,1,JC,R217,2,O14,O14,O14_2,,,
O15_2,P_1A_6,M,1A,133,1/19/22,9/8/21,Heart,NA,3/3/23,2,EC,R233,2,O15,O15,O15_2,,,
O16_2,P_1B_8,M,1B,147,2/14/22,9/20/21,Eye,NA,NA,1,MRW,657,2,O16,O16,O16_2,,,
O17_2,P_1B_2,M,1B,133,1/31/22,9/20/21,Spleen,NA,3/6/23,1,EC,RNA311,2,O17,O17,O17_2,,,
O18_2,H_02,M,2,52,5/5/22,3/14/22,Spleen,NA,3/6/23,1,JC,RNA327,2,O18,O18,O18_2,,,
O19_2,J_1A_25,M,1A,103,12/20/21,9/8/21,Spleen,NA,3/6/23,2,EC,RNA343,2,O19,O19,O19_2,,,
O2_2,C1,F,2,155,8/16/22,3/14/22,Bone,4/26/23,4/22/23,2,EC,RNA604,2,O2,O2,O2_2,,,
O21_2,P_1B_11,M,1B,147,2/14/22,9/20/21,Brain,NA,1/31/23,1,EC,R37,2,O21,O21,O21_2,,,
O22_2,I05,F,2,134,7/26/22,3/14/22,Brain,NA,2/1/23,2,EC,R53,2,O22,O22,O22_2,,,
O23_2,J_1B_4,M,1B,161,2/28/22,9/20/21,Brain,NA,2/1/23,2,IG,R69,2,O23,O23,O23_2,,,
O3_2,J-1B-18,F,1B,133,1/31/22,9/20/21,Bone,4/28/23,4/29/23,3,EC,RNA620,2,O3,O3,O3_2,,,
O4_2,P_1A_10,M,1A,103,12/20/21,9/8/21,Eye,NA,NA,1,MRW,633,2,O4,O4,O4_2,,,
O5_2,P_1B_10,M,1B,133,1/31/22,9/20/21,Fat,4/12/23,4/16/23,1,EC,RNA531,2,O5,O5,O5_2,,,
O6_2,D_06,F,2,52,5/5/22,3/14/22,Fat,4/12/23,4/17/23,2,EC,RNA547,2,O6,O6,O6_2,,,
O7_2,J_1B_2,M,1B,49,11/8/21,9/20/21,Fat,4/12/23,4/19/23,3,EC,RNA564,2,O7,O7,O7_2,,,
O8_2,J_1B_7,F,1B,147,2/14/22,9/20/21,Eye,NA,NA,1,MRW,641,2,O8,O8,O8_2,,,
O9_2,J_1B_7,F,1B,147,2/14/22,9/20/21,SpinalCord,NA,3/10/23,1,EC,RNA421,2,O9,O9,O9_2,,,
P1_2,P_1B_2,M,1B,133,1/31/22,9/20/21,Bone,4/19/23,4/22/23,1,EC,RNA589,2,P1,P1,P1_2,1,2,bad RNA quality after thaw
P10_2,A01,M,2,78,5/31/22,3/14/22,SpinalCord,NA,3/13/23,2,JC,RNA438,2,P10,P10,P10_2,,,
P11_2,J_1B_5,F,1B,49,11/8/21,9/20/21,SpinalCord,NA,3/13/23,2,EC,RNA454,2,P11,P11,P11_2,,,
P12_2,E04,F,2,102,6/24/22,3/14/22,Eye,NA,NA,1,MRW,650,2,P12,P12,P12_2,,,
P13_2,P_1B_2,M,1B,133,1/31/22,9/20/21,Heart,NA,3/3/23,1,JC,R202,2,P13,P13,P13_2,,,
P14_2,J_1B_20,M,1B,77,12/6/21,9/20/21,Heart,NA,3/3/23,1,JC,R218,2,P14,P14,P14_2,,,
P15_2,J_1B_13,M,1B,77,12/6/21,9/20/21,Heart,NA,3/3/23,2,EC,R234,2,P15,P15,P15_2,,,
P16_2,A17,M,2,78,5/31/22,3/14/22,Eye,NA,NA,1,MRW,658,2,P16,P16,P16_2,,,
P17_2,J-1B-6,F,1B,133,1/31/22,9/20/21,Spleen,NA,3/6/23,1,EC,RNA312,2,P17,P17,P17_2,,,
P18_2,I05,F,2,134,7/26/22,3/14/22,Spleen,NA,3/6/23,1,JC,RNA328,2,P18,P18,P18_2,,,
P19_2,P_1B_3,F,1B,77,12/6/21,9/20/21,Spleen,NA,3/6/23,2,EC,RNA344,2,P19,P19,P19_2,,,
P2_2,A06,F,2,102,6/24/22,3/14/22,Bone,4/26/23,4/22/23,2,EC,RNA605,2,P2,P2,P2_2,,,
P21_2,P_1A_3,M,1A,152,2/7/22,9/8/21,Brain,NA,1/31/23,1,EC,R38,2,P21,P21,P21_2,,,
P22_2,H_02,M,2,52,5/5/22,3/14/22,Brain,NA,2/1/23,2,EC,R54,2,P22,P22,P22_2,,,
P23_2,J-1B-6,F,1B,133,1/31/22,9/20/21,Brain,NA,2/1/23,2,IG,R70,2,P23,P23,P23_2,,,
P3_2,J_1A_24,F,1A,47,10/25/21,9/8/21,Bone,4/28/23,4/29/23,3,EC,RNA621,2,P3,P3,P3_2,,,
P4_2,I03,M,2,162,8/23/22,3/14/22,Eye,NA,NA,1,MRW,634,2,P4,P4,P4_2,,,
P5_2,J_1A_1,M,1A,152,2/7/22,9/8/21,Fat,4/12/23,4/16/23,1,EC,RNA532,2,P5,P5,P5_2,,,
P6_2,J_04,M,2,162,8/23/22,3/14/22,Fat,4/12/23,4/17/23,2,EC,RNA548,2,P6,P6,P6_2,,,
P7_2,P_1B_1,F,1B,77,12/6/21,9/20/21,Fat,4/13/23,4/19/23,3,EC,RNA566,2,P7,P7,P7_2,,,
P8_2,J_1A_25,M,1A,103,12/20/21,9/8/21,Eye,NA,NA,1,MRW,642,2,P8,P8,P8_2,,,
P9_2,P_1B_9,F,1B,49,11/8/21,9/20/21,SpinalCord,NA,3/10/23,1,EC,RNA422,2,P9,P9,P9_2,,,